Ngày,Đơn hàng,Doanh thu,Giảm giá,Doanh thu thuần,Vận chuyển,Giảm giá vận chuyển,Tổng hoá đơn,Đã thu,Hoàn trả,Tổng giá vốn,Tổng lợi nhuận,% lợi nhuận
13/07/2023,191,"99,315,600","-30,120,769","69,194,831","1,741,384",0,"70,936,215","66,353,215",0,"31,003,000","38,191,831",55.19%
14/07/2023,179,"89,687,000","-31,766,793","57,920,207","1,514,800",0,"59,435,007","57,725,007",0,"28,632,000","29,288,207",50.57%
15/07/2023,417,"184,216,400","-52,731,362","131,485,038","1,244,778",0,"132,729,816","130,011,816","-874,532","62,707,000","68,778,038",52.31%
16/07/2023,133,"76,510,750","-21,108,176","55,402,574","1,062,965",0,"56,465,539","51,148,539",0,"24,771,000","30,631,574",55.29%
17/07/2023,176,"91,304,350","-23,884,065","67,420,285","1,356,547",0,"68,776,832","64,878,332","-263,000","29,888,000","37,532,285",55.67%
18/07/2023,181,"87,485,000","-20,046,841","67,438,159","1,223,699",0,"68,661,858","64,437,308","-854,400","27,162,000","40,276,159",59.72%
19/07/2023,166,"79,204,750","-21,970,501","57,234,249","1,147,162",0,"58,381,411","55,036,411",0,"25,621,000","31,613,249",55.23%
20/07/2023,298,"138,618,000","-38,978,485","99,639,515","1,589,418",0,"101,228,933","96,232,733","-333,040","42,959,000","56,680,515",56.89%
21/07/2023,134,"62,447,700","-13,408,294","49,039,406","654,700",0,"49,694,106","48,445,506",0,"19,968,000","29,071,406",59.28%
22/07/2023,143,"66,492,900","-19,003,165","47,489,735","973,025",0,"48,462,760","45,113,260","-832,240","23,555,000","23,934,735",50.40%
23/07/2023,109,"58,586,050","-14,917,709","43,668,341","1,008,511",0,"44,676,852","42,611,852",0,"19,459,000","24,209,341",55.44%
24/07/2023,161,"75,045,750","-18,617,553","56,428,197","471,000",0,"56,899,197","53,367,697",0,"25,373,000","31,055,197",55.03%
25/07/2023,370,"171,842,349","-54,666,309","117,176,040","599,104",0,"117,775,144","115,452,044","-720,253","58,788,000","58,388,040",49.83%
26/07/2023,174,"81,963,250","-24,224,682","57,738,568","417,700",0,"58,156,268","57,428,968",0,"27,464,000","30,274,568",52.43%
27/07/2023,197,"95,750,250","-28,742,361","67,007,889","672,860",0,"67,680,749","66,340,749","-294,300","32,072,000","34,935,889",52.14%
28/07/2023,175,"99,721,500","-29,683,751","70,037,749","352,590",0,"70,390,339","66,712,739","-409,420","33,184,000","36,853,749",52.62%
29/07/2023,171,"77,338,750","-20,074,573","57,264,177","610,725",0,"57,874,902","56,518,902","-776,770","24,901,000","32,363,177",56.52%
30/07/2023,157,"73,553,000","-16,569,153","56,983,847","339,225",0,"57,323,072","54,360,072",0,"25,008,000","31,975,847",56.11%
31/07/2023,140,"68,247,500","-19,350,316","48,897,184","372,951",0,"49,270,135","47,598,135","-1,023,700","22,911,000","25,986,184",53.14%
01/08/2023,329,"166,584,000","-56,176,194","110,407,806","1,455,895",0,"111,863,701","104,770,701","-212,300","54,244,000","56,163,806",50.87%
02/08/2023,309,"159,988,000","-71,324,472","88,663,528","537,725",0,"89,201,253","78,422,253",0,"54,492,000","34,171,528",38.54%
03/08/2023,341,"172,031,500","-67,421,261","104,610,239","965,298",0,"105,575,537","96,741,537",0,"58,916,000","45,694,239",43.68%
04/08/2023,202,"109,060,000","-41,841,125","67,218,875","2,600,150",0,"69,819,025","61,897,525",0,"36,089,000","31,129,875",46.31%
05/08/2023,198,"100,967,400","-37,673,487","63,293,913","2,092,913",0,"65,386,826","60,182,826",0,"34,327,000","28,966,913",45.77%
06/08/2023,177,"98,479,550","-35,730,495","62,749,055","2,063,009",0,"64,812,064","59,375,064","-240,000","32,550,000","30,199,055",48.13%
07/08/2023,272,"166,389,000","-69,640,519","96,748,481","2,368,960",0,"99,117,441","93,352,241",0,"54,188,000","42,560,481",43.99%
08/08/2023,949,"448,108,275","-146,301,282","301,806,993","2,611,104",0,"304,418,097","292,706,511","-648,950","147,149,000","154,657,993",51.24%
09/08/2023,279,"147,616,850","-58,643,264","88,973,586","2,262,803",0,"91,236,389","81,622,989",0,"49,113,000","39,860,586",44.80%
10/08/2023,177,"101,251,050","-36,367,999","64,883,051","2,116,051",0,"66,999,102","59,882,802",0,"34,452,000","30,431,051",46.90%
11/08/2023,173,"85,331,000","-23,675,773","61,655,227","1,646,643",0,"63,301,870","58,307,338",0,"28,699,000","32,956,227",53.45%
12/08/2023,160,"79,297,000","-25,374,070","53,922,930","1,544,811",0,"55,467,741","48,593,991","-360,250","26,234,000","27,688,930",51.35%
13/08/2023,162,"78,349,000","-24,270,403","54,078,597","1,594,700",0,"55,673,297","48,295,297",0,"25,657,000","28,421,597",52.56%
14/08/2023,261,"132,707,950","-49,561,373","83,146,577","2,118,325",0,"85,264,902","75,939,602",0,"44,714,000","38,432,577",46.22%
15/08/2023,400,"187,000,743","-57,496,471","129,504,272","1,335,718",0,"130,839,990","126,674,790","-660,646","61,777,000","67,727,272",52.30%
16/08/2023,263,"136,260,600","-48,542,943","87,717,657","1,736,235",0,"89,453,892","84,461,892","-312,975","43,102,000","44,615,657",50.86%
17/08/2023,145,"78,389,750","-30,374,297","48,015,453","2,022,381",0,"50,037,834","45,371,834",0,"26,002,000","22,013,453",45.85%
18/08/2023,192,"101,348,000","-36,735,061","64,612,939","1,810,100",0,"66,423,039","60,408,039",0,"33,337,000","31,275,939",48.41%
19/08/2023,210,"102,313,500","-32,933,999","69,379,501","1,714,674",0,"71,094,175","66,676,675","-220,000","35,107,000","34,272,501",49.40%
20/08/2023,167,"80,193,750","-25,194,145","54,999,605","1,758,790",0,"56,758,395","53,499,895",0,"26,262,000","28,737,605",52.25%
21/08/2023,200,"109,374,000","-32,265,601","77,108,399","1,965,700",0,"79,074,099","70,401,099",0,"35,027,000","42,081,399",54.57%
22/08/2023,137,"70,612,700","-21,252,437","49,360,263","1,650,278",0,"51,010,541","45,736,541",0,"22,420,000","26,940,263",54.58%
23/08/2023,203,"103,068,000","-34,036,064","69,031,936","1,550,883",0,"70,582,819","66,522,819","-609,149","35,648,000","33,383,936",48.36%
24/08/2023,157,"82,265,500","-27,424,241","54,841,259","1,424,900",0,"56,266,159","52,128,159",0,"26,286,000","28,555,259",52.07%
25/08/2023,438,"221,286,750","-82,101,738","139,185,012","1,345,270",0,"140,530,282","138,565,282","-622,353","69,232,000","69,953,012",50.26%
26/08/2023,185,"111,997,500","-41,540,883","70,456,617","1,463,925",0,"71,920,542","68,926,542",0,"33,710,000","36,746,617",52.15%
27/08/2023,156,"82,005,850","-27,554,998","54,450,852","1,294,020",0,"55,744,872","53,274,872","-312,500","26,056,000","28,394,852",52.15%
28/08/2023,201,"111,925,750","-39,771,860","72,153,890","1,680,096",0,"73,833,986","70,566,986",0,"35,122,000","37,031,890",51.32%
29/08/2023,203,"119,347,950","-50,854,525","68,493,425","1,638,109",0,"70,131,534","66,644,534","-654,475","36,005,000","32,488,425",47.43%
30/08/2023,213,"112,460,500","-39,380,019","73,080,481","1,612,300",0,"74,692,781","70,058,781",0,"34,839,000","38,241,481",52.33%
31/08/2023,150,"79,741,000","-26,614,679","53,126,321","1,396,200",0,"54,522,521","52,556,521",0,"24,104,000","29,022,321",54.63%
01/09/2023,190,"91,569,000","-26,586,179","64,982,821","815,950",0,"65,798,771","64,035,771",0,"29,354,000","35,628,821",54.83%
02/09/2023,117,"62,290,000","-20,984,293","41,305,707","1,018,548",0,"42,324,255","40,170,255",0,"18,535,000","22,770,707",55.13%
03/09/2023,154,"85,367,000","-29,100,563","56,266,437","1,250,828",0,"57,517,265","52,865,265",0,"26,712,000","29,554,437",52.53%
04/09/2023,245,"126,297,800","-41,894,432","84,403,368","2,157,659",0,"86,561,027","84,014,727","-558,467","38,820,000","45,583,368",54.01%
05/09/2023,133,"80,362,800","-19,772,685","60,590,115","1,446,400",0,"62,036,515","55,048,515",0,"25,443,000","35,147,115",58.01%
06/09/2023,262,"123,431,300","-43,616,980","79,814,320","2,595,900",0,"82,410,220","78,109,220",0,"34,774,000","45,040,320",56.43%
07/09/2023,203,"126,844,800","-53,570,060","73,274,740","2,221,001",0,"75,495,741","68,353,341",0,"38,350,784","34,923,956",47.66%
08/09/2023,254,"155,532,250","-59,915,656","95,616,594","2,281,159",0,"97,897,753","87,402,753",0,"42,034,784","53,581,810",56.04%
09/09/2023,"1,098","546,439,900","-194,490,806","351,949,094","5,761,876",0,"357,710,970","351,724,970","-610,984","168,897,568","183,051,526",52.01%
10/09/2023,204,"108,397,250","-36,328,463","72,068,787","1,570,677",0,"73,639,464","67,631,964","-417,825","33,489,000","38,579,787",53.53%
11/09/2023,287,"150,039,950","-57,304,715","92,735,235","2,316,900",0,"95,052,135","87,141,635","-375,750","43,370,000","49,365,235",53.23%
12/09/2023,238,"128,617,000","-53,256,361","75,360,639","2,590,663",0,"77,951,302","69,195,602","-243,000","34,868,000","40,492,639",53.73%
13/09/2023,258,"152,935,000","-70,881,776","82,053,224","2,627,800",0,"84,681,024","78,283,024",0,"39,155,000","42,898,224",52.28%
14/09/2023,191,"93,523,700","-32,427,873","61,095,827","1,892,700",0,"62,988,527","58,971,527","-417,243","29,477,000","31,618,827",51.75%
15/09/2023,317,"155,684,700","-58,366,372","97,318,328","2,108,750",0,"99,427,078","93,952,478",0,"45,629,000","51,689,328",53.11%
16/09/2023,177,"98,628,550","-40,244,725","58,383,825","1,756,139",0,"60,139,964","56,309,964","-255,000","27,064,000","31,319,825",53.64%
17/09/2023,181,"96,747,400","-38,275,463","58,471,937","1,902,909",0,"60,374,846","57,401,246",0,"29,996,000","28,475,937",48.70%
18/09/2023,244,"138,736,000","-55,411,550","83,324,450","2,413,835",0,"85,738,285","81,418,685",0,"39,812,000","43,512,450",52.22%
19/09/2023,148,"79,626,600","-27,595,902","52,030,698","1,233,698",0,"53,264,396","50,471,596","-254,472","23,254,000","28,776,698",55.31%
20/09/2023,178,"94,900,500","-33,993,360","60,907,140","1,705,580",0,"62,612,720","61,834,770","-283,580","28,508,000","32,399,140",53.19%
21/09/2023,181,"91,272,600","-36,959,144","54,313,456","1,888,300",0,"56,201,756","55,092,756",0,"27,693,000","26,620,456",49.01%
22/09/2023,209,"105,658,000","-37,198,232","68,459,768","1,407,650",0,"69,867,418","67,495,418","-509,736","33,106,000","35,353,768",51.64%
23/09/2023,186,"98,386,000","-36,148,361","62,237,639","1,734,789",0,"63,972,428","60,339,428","-269,100","29,800,000","32,437,639",52.12%
24/09/2023,135,"73,302,750","-26,254,140","47,048,610","805,325",0,"47,853,935","45,143,935",0,"22,598,000","24,450,610",51.97%
25/09/2023,358,"184,189,200","-65,621,291","118,567,909","2,114,050",0,"120,681,959","116,806,359","-256,352","55,347,000","63,220,909",53.32%
26/09/2023,206,"114,383,350","-40,980,288","73,403,062","1,425,950",0,"74,829,012","66,018,112",0,"32,820,000","40,583,062",55.29%
27/09/2023,218,"117,906,000","-47,301,331","70,604,669","1,418,936",0,"72,023,605","69,380,605",0,"35,370,000","35,234,669",49.90%
28/09/2023,153,"86,576,500","-29,015,663","57,560,837","1,095,820",0,"58,656,657","57,278,657",0,"26,265,000","31,295,837",54.37%
29/09/2023,220,"112,837,950","-36,269,057","76,568,893","1,328,550",0,"77,897,443","74,528,443","-294,550","34,263,000","42,305,893",55.25%
30/09/2023,177,"87,882,000","-36,692,795","51,189,205","985,500",0,"52,174,705","51,614,705",0,"25,446,000","25,743,205",50.29%
01/10/2023,177,"84,113,000","-28,906,818","55,206,182","1,337,900",0,"56,544,082","53,060,682",0,"26,092,000","29,114,182",52.74%
02/10/2023,115,"67,410,000","-22,955,749","44,454,251","1,167,700",0,"45,621,951","44,617,351",0,"17,449,000","27,005,251",60.75%
03/10/2023,198,"112,470,900","-40,896,647","71,574,253","1,390,225",0,"72,964,478","72,219,478","-285,000","32,024,000","39,550,253",55.26%
04/10/2023,228,"131,547,500","-46,545,600","85,001,900","2,173,920",0,"87,175,820","83,708,820","-287,100","37,237,000","47,764,900",56.19%
05/10/2023,210,"114,762,400","-45,903,692","68,858,708","2,030,200",0,"70,888,908","64,832,908","-243,000","34,446,000","34,412,708",49.98%
06/10/2023,224,"125,265,000","-44,202,035","81,062,965","2,264,891",0,"83,327,856","80,403,856",0,"34,646,000","46,416,965",57.26%
07/10/2023,156,"86,354,350","-32,224,983","54,129,367","1,818,600",0,"55,947,967","52,243,367",0,"22,153,000","31,976,367",59.07%
08/10/2023,161,"80,534,250","-29,907,809","50,626,441","1,785,900",0,"52,412,341","50,486,341","-291,860","21,367,000","29,259,441",57.79%
09/10/2023,351,"172,813,200","-63,857,543","108,955,657","2,560,909",0,"111,516,566","108,519,066","-287,500","49,237,000","59,718,657",54.81%
10/10/2023,888,"415,407,750","-141,943,464","273,464,286","2,702,092",0,"276,166,378","267,763,942","-499,200","129,458,000","144,006,286",52.66%
11/10/2023,213,"116,250,500","-42,131,252","74,119,248","1,580,150",0,"75,699,398","72,616,398","-322,185","34,563,000","39,556,248",53.37%
12/10/2023,212,"104,575,650","-36,438,423","68,137,227","1,577,439",0,"69,714,666","63,664,666",0,"33,026,000","35,111,227",51.53%
13/10/2023,144,"72,059,000","-28,221,707","43,837,293","1,449,475",0,"45,286,768","41,936,768",0,"23,924,000","19,913,293",45.43%
14/10/2023,154,"81,467,000","-34,355,024","47,111,976","1,656,400",0,"48,768,376","44,374,376",0,"27,100,000","20,011,976",42.48%
15/10/2023,232,"118,591,000","-42,628,840","75,962,160","1,820,100",0,"77,782,260","71,883,920",0,"37,736,000","38,226,160",50.32%
16/10/2023,205,"106,684,000","-38,262,213","68,421,787","2,155,600",0,"70,577,387","66,824,087","-921,184","33,561,000","34,860,787",50.95%
17/10/2023,143,"74,102,950","-28,093,372","46,009,578","1,614,010",0,"47,623,588","41,529,878",0,"22,125,000","23,884,578",51.91%
18/10/2023,190,"98,981,500","-37,384,438","61,597,062","2,022,200",0,"63,619,262","62,037,462",0,"30,870,000","30,727,062",49.88%
19/10/2023,170,"92,787,000","-35,457,239","57,329,761","1,889,600",0,"59,219,361","56,054,161",0,"25,477,000","31,852,761",55.56%
20/10/2023,166,"87,265,000","-29,571,846","57,693,154","1,282,600",0,"58,975,754","55,566,054",0,"23,483,000","34,210,154",59.30%
21/10/2023,179,"85,893,000","-32,732,294","53,160,706","2,090,200",0,"55,250,906","51,694,906","-974,406","25,161,000","27,999,706",52.67%
22/10/2023,157,"77,703,200","-22,440,504","55,262,696","1,358,875",0,"56,621,571","53,557,171",0,"18,388,000","36,874,696",66.73%
23/10/2023,168,"89,637,000","-28,543,845","61,093,155","1,369,225",0,"62,462,380","59,138,380","-313,956","24,545,000","36,548,155",59.82%
24/10/2023,139,"72,720,100","-20,854,970","51,865,130","1,015,663",0,"52,880,793","50,843,793",0,"19,736,000","32,129,130",61.95%
25/10/2023,219,"108,597,550","-31,868,828","76,728,722","1,301,056",0,"78,029,778","75,944,778",0,"30,599,000","46,129,722",60.12%
26/10/2023,173,"95,795,000","-34,840,539","60,954,461","1,424,225",0,"62,378,686","60,698,686",0,"27,147,000","33,807,461",55.46%
27/10/2023,140,"68,259,550","-22,640,422","45,619,128","1,446,358",0,"47,065,486","46,191,486","-285,525","21,620,000","23,999,128",52.61%
28/10/2023,107,"52,171,100","-14,632,953","37,538,147","833,300",0,"38,371,447","36,284,147",0,"14,698,000","22,840,147",60.85%
29/10/2023,106,"57,247,000","-16,443,539","40,803,461","1,097,825",0,"41,901,286","38,727,286",0,"15,203,000","25,600,461",62.74%
30/10/2023,202,"102,328,000","-35,929,971","66,398,029","1,525,277",0,"67,923,306","66,342,306",0,"26,418,000","39,980,029",60.21%
31/10/2023,162,"87,412,000","-25,915,861","61,496,139","1,171,289",0,"62,667,428","59,449,428",0,"22,483,000","39,013,139",63.44%
01/11/2023,163,"87,681,250","-30,937,515","56,743,735","1,314,202",0,"58,057,937","52,108,337","-254,650","24,954,000","31,789,735",56.02%
02/11/2023,127,"65,834,100","-21,356,178","44,477,922","1,688,371",0,"46,166,293","41,077,193",0,"18,555,000","25,922,922",58.28%
03/11/2023,91,"51,011,000","-14,976,169","36,034,831","1,389,661",0,"37,424,492","33,361,992",0,"15,426,000","20,608,831",57.19%
04/11/2023,317,"162,600,000","-63,714,232","98,885,768","2,609,395",0,"101,495,163","94,839,163",0,"51,563,000","47,322,768",47.86%
05/11/2023,111,"63,704,000","-20,269,328","43,434,672","1,828,800",0,"45,263,472","36,807,972",0,"21,382,000","22,052,672",50.77%
06/11/2023,145,"80,389,000","-27,046,980","53,342,020","1,724,800",0,"55,066,820","47,083,320",0,"26,784,000","26,558,020",49.79%
07/11/2023,104,"61,948,000","-21,158,376","40,789,624","1,200,200",0,"41,989,824","37,152,324",0,"19,560,000","21,229,624",52.05%
08/11/2023,176,"101,219,000","-33,779,180","67,439,820","1,475,400",0,"68,915,220","63,376,620",0,"33,946,000","33,493,820",49.66%
09/11/2023,155,"85,819,000","-29,905,241","55,913,759","1,806,856",0,"57,720,615","51,383,115",0,"27,917,000","27,996,759",50.07%
10/11/2023,247,"131,110,000","-51,234,225","79,875,775","2,206,200",0,"82,081,975","76,116,825",0,"43,971,000","35,904,775",44.95%
11/11/2023,800,"415,299,350","-146,186,839","269,112,511","4,334,689",0,"273,447,200","263,929,279","-2,279,549","140,512,000","128,600,511",47.79%
12/11/2023,73,"40,274,500","-12,072,183","28,202,317","821,400",0,"29,023,717","24,386,847","-1,307,690","13,084,000","15,118,317",53.61%
13/11/2023,149,"92,675,500","-39,554,208","53,121,292","1,658,110",0,"54,779,402","48,535,402",0,"31,029,475","22,091,817",41.59%
14/11/2023,145,"87,767,000","-35,481,300","52,285,700","1,077,300",0,"53,363,000","51,450,500",0,"28,254,000","24,031,700",45.96%
15/11/2023,220,"121,109,000","-44,026,133","77,082,867","2,839,215",0,"79,922,082","75,130,582",0,"40,943,000","36,139,867",46.88%
16/11/2023,217,"127,171,000","-52,651,844","74,519,156","2,426,260",0,"76,945,416","73,889,916","-659,117","41,159,000","33,360,156",44.77%
17/11/2023,151,"87,831,000","-32,744,078","55,086,922","1,552,508",0,"56,639,430","52,822,430","-255,375","28,365,475","26,721,447",48.51%
18/11/2023,181,"106,079,000","-42,685,086","63,393,914","1,864,225",0,"65,258,139","63,602,139","-1,205,746","35,974,949","27,418,965",43.25%
19/11/2023,153,"83,833,000","-30,363,071","53,469,929","1,647,500",0,"55,117,429","49,831,429","-290,565","27,873,000","25,596,929",47.87%
20/11/2023,277,"170,039,000","-72,546,155","97,492,845","3,604,158",0,"101,097,003","97,471,803","-1,739,837","55,936,949","41,555,896",42.62%
21/11/2023,172,"104,429,000","-44,858,236","59,570,764","2,619,655",0,"62,190,419","58,564,419",0,"35,697,000","23,873,764",40.08%
22/11/2023,141,"84,274,000","-33,481,620","50,792,380","1,978,858",0,"52,771,238","47,293,538",0,"29,498,475","21,293,905",41.92%
23/11/2023,346,"211,563,000","-94,889,099","116,673,901","3,470,841",0,"120,144,742","112,780,042","-1,029,840","67,208,949","49,464,952",42.40%
24/11/2023,439,"242,598,000","-97,835,977","144,762,023","4,928,740",0,"149,690,763","139,342,463","-1,249,308","73,955,475","70,806,548",48.91%
25/11/2023,201,"118,721,000","-43,341,129","75,379,871","2,488,386",0,"77,868,257","72,420,157","-257,149","36,305,475","39,074,396",51.84%
26/11/2023,170,"128,724,000","-49,267,140","79,456,860","2,099,376",0,"81,556,236","74,037,036","-520,560","39,952,000","39,504,860",49.72%
27/11/2023,255,"151,283,000","-60,640,764","90,642,236","2,269,900",0,"92,912,136","84,304,736","-1,091,200","47,747,475","42,894,761",47.32%
28/11/2023,205,"119,842,000","-48,959,589","70,882,411","2,163,417",0,"73,045,828","66,243,128","-669,430","36,996,475","33,885,936",47.81%
29/11/2023,189,"116,029,000","-44,055,850","71,973,150","1,947,611",0,"73,920,761","67,089,761","-520,560","37,164,000","34,809,150",48.36%
30/11/2023,156,"87,531,000","-35,099,602","52,431,398","1,241,872",0,"53,673,270","50,687,270",0,"27,885,475","24,545,923",46.82%
01/12/2023,115,"70,469,000","-23,753,950","46,715,050","1,312,900",0,"48,027,950","44,240,950",0,"21,610,000","25,105,050",53.74%
02/12/2023,172,"99,057,000","-37,465,333","61,591,667","1,628,100",0,"63,219,767","57,904,267","-1,274,962","31,436,424","30,155,243",48.96%
03/12/2023,106,"56,936,000","-18,414,810","38,521,190","1,299,398",0,"39,820,588","34,928,088","-568,694","16,180,949","22,340,241",57.99%
04/12/2023,181,"105,805,000","-32,508,090","73,296,910","1,543,837",0,"74,840,747","71,332,747",0,"35,590,000","37,706,910",51.44%
05/12/2023,120,"67,380,000","-22,231,139","45,148,861","1,015,230",0,"46,164,091","44,420,091","-1,770,857","22,489,000","22,659,861",50.19%
06/12/2023,191,"103,849,000","-36,737,590","67,111,410","1,178,013",0,"68,289,423","66,027,923","-1,390,000","35,436,000","31,675,410",47.20%
07/12/2023,145,"89,530,000","-30,943,972","58,586,028","1,027,306",0,"59,613,334","55,471,834",0,"29,969,000","28,617,028",48.85%
08/12/2023,193,"111,462,000","-46,980,204","64,481,796","1,375,333",0,"65,857,129","63,566,129",0,"37,227,000","27,254,796",42.27%
09/12/2023,169,"124,236,000","-54,306,102","69,929,898","1,420,089",0,"71,349,987","67,047,487","-345,450","41,428,000","28,501,898",40.76%
10/12/2023,131,"89,986,000","-40,998,288","48,987,712","1,363,887",0,"50,351,599","45,960,599",0,"30,883,475","18,104,237",36.96%
11/12/2023,301,"186,144,000","-74,093,044","112,050,956","1,803,883",0,"113,854,839","108,721,839","-914,818","62,537,000","49,513,956",44.19%
12/12/2023,899,"511,792,000","-203,757,896","308,034,104","5,083,478",0,"313,117,582","311,006,382","-1,897,167","173,712,000","134,322,104",43.61%
13/12/2023,166,"105,074,000","-38,861,860","66,212,140","1,359,443",0,"67,571,583","63,216,383",0,"35,569,000","30,643,140",46.28%
14/12/2023,145,"93,056,216","-46,965,083","46,091,133","1,386,557",0,"47,477,690","45,962,690",0,"30,224,000","15,867,133",34.43%
15/12/2023,229,"146,883,000","-57,089,049","89,793,951","1,316,070",0,"91,110,021","89,791,921",0,"48,774,000","41,019,951",45.68%
16/12/2023,185,"117,254,000","-47,622,566","69,631,434","1,484,237",0,"71,115,671","66,622,671","-342,548","38,030,000","31,601,434",45.38%
17/12/2023,190,"120,010,350","-46,371,558","73,638,792","1,483,899",0,"75,122,691","70,983,991","-1,426,524","40,427,000","33,211,792",45.10%
18/12/2023,178,"119,860,364","-50,629,131","69,231,233","1,026,205",0,"70,257,438","64,867,338",0,"40,155,000","29,076,233",42.00%
19/12/2023,143,"88,226,000","-34,017,504","54,208,496","1,343,146",0,"55,551,642","49,640,642","-338,580","29,759,000","24,449,496",45.10%
20/12/2023,267,"166,950,273","-73,328,197","93,622,076","1,806,780",0,"95,428,856","92,463,256","-605,616","53,264,000","40,358,076",43.11%
21/12/2023,155,"86,788,000","-31,666,117","55,121,883","1,519,904",0,"56,641,787","53,786,487","-273,700","27,564,000","27,557,883",49.99%
22/12/2023,304,"445,026,000","-157,084,944","287,941,056","2,509,500",0,"290,450,556","288,231,856","-294,700","151,752,000","136,189,056",47.30%
23/12/2023,147,"99,972,000","-30,870,325","69,101,675","1,762,821",0,"70,864,496","70,314,496","-540,760","32,846,000","36,255,675",52.47%
24/12/2023,137,"81,919,000","-26,412,519","55,506,481","1,283,819",0,"56,790,300","56,405,300","-665,500","27,850,000","27,656,481",49.83%
25/12/2023,288,"175,524,000","-63,416,926","112,107,074","2,575,089",0,"114,682,163","113,882,163","-1,047,888","58,606,000","53,501,074",47.72%
26/12/2023,146,"101,453,000","-31,055,013","70,397,987","1,595,198",0,"71,993,185","70,588,185","-979,500","34,194,475","36,203,512",51.43%
27/12/2023,219,"130,913,000","-49,528,848","81,384,152","1,494,796",0,"82,878,948","80,629,348","-297,000","45,814,818","35,569,334",43.71%
28/12/2023,187,"121,234,000","-31,278,523","89,955,477","1,567,940",0,"91,523,417","85,153,917",0,"39,856,000","50,099,477",55.69%
29/12/2023,151,"93,479,000","-28,679,566","64,799,434","1,351,880",0,"66,151,314","65,731,314",0,"31,366,000","33,433,434",51.60%
30/12/2023,150,"93,627,000","-25,931,407","67,695,593","1,990,388",0,"69,685,981","67,666,381",0,"30,687,000","37,008,593",54.67%
31/12/2023,130,"66,433,000","-19,286,222","47,146,778","1,542,559",0,"48,689,337","48,442,637",0,"21,626,000","25,520,778",54.13%
